reviewId,content,score
028c1938-c913-4b83-9522-3ac63d6c6b46,Wow my name is mizan,1
f97f8824-48c9-422a-866e-32d360bcb468,grt,5
a2b91393-597f-43d2-9906-2431bc9d7ff6,Ok,3
0c83a494-91c5-4152-9c5c-06981aac593a,Wonderful,5
a1157863-c1b7-4a9c-bedc-a6ec96175f94,Hello my name on the rest of Kbjb,1
2cf59eac-c198-4d88-b155-7bb937010155,سلیمان,2
6943af34-8efd-40ff-bf96-dd56924506fe,AliDon.,5
ee77ff43-1cda-4e0e-b8a5-4f1f1f618205,Toast adddocting,1
f599a68b-982d-4f80-ad9b-ae9286932bc3,I love this app,5
b86fc975-cd0c-42b8-93bd-ba86f567f650,Lots of everything a n motre you never thought of,5
1304bed0-6bb3-4b0f-bc3f-0d0924345a3e,It is the best app for entertainment,5
13e97fc6-6c54-48df-8881-cd1c38e647be,"Good app, but only thing I don't like is how childish the community is and how horrible of a job guideline moderators do. So you're telling me that I get a joke I made about gacha kids being overreactive taken down, but yall keep women breastfeeding on the app. Fix your moderation 💀 Edit: I got falsely banned :)",1
affc4b5b-4f1f-4ed5-abeb-cd947410f0a1,Dear tik tok team my videos for no views why .,5
eef1ba54-75e6-447b-9853-0cdc400cd558,It's very good that I met people I didn't know from far away while doing tik tok lele,5
8302073c-a7af-47ab-b53d-0698607d531f,The best app in the world 🌍,5
302217ef-159f-4c5e-98e0-2b6045f87abc,V.good app,5
273a1848-89c4-4d6b-b9fe-9c449e944b81,TikTok is fraud & promoting useless material which make the time of youth wasted.They don't get useful videos like education related videos viral. It must be banned globally.,1
77059ef6-501e-49f1-8e48-08b2f51fc765,I like pickles,5
6cea423b-6eb7-403c-a515-e11d1f8ddb47,Tiktok is very beautiful apps,5
5e8e14e3-eea4-4cd0-8953-3b006a066664,Nice app,5
a9f31781-3a16-4691-a561-0c4bca658125,good,5
85fde3f4-3ddf-4259-9d8c-93ea4409ef7e,TikTok e vai onk glitch ache,5
f79dc378-8371-4c92-8c3d-7eb7547f9392,@doladas453,5
3b4cce67-bdc4-4fb9-9cf3-93b12d9fa7a4,I see horrifing stuff that made me sad. My own bff chose our smaller bff. I almost cried. I knew it was a bad idea to install this app again. Edit; Ill make a different account,2
3f65de21-8aee-4704-9d64-af1742e55236,Nice app,5
1e02e652-ed7a-438b-bc6c-31d0fb3c3605,Please my Vadeio viral,5
da89aee4-f77c-4262-86df-6298568b8b9a,Nice 👍,4
21e09ef0-aebc-4a93-8ecb-1ddaf8a923a4,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000০000000৳৳৳0000000,5
03fdbadc-beb1-4924-88be-9a9d52e93213,𝒕𝒊𝒌𝒕𝒐𝒌 𝒊 𝒘𝒂𝒏𝒕 𝒕𝒐 𝒈𝒓𝒐𝒘 𝒎𝒚 𝒂𝒄𝒄𝒐𝒖𝒏𝒕 😭😭😭😭😭𝒑𝒍𝒆𝒂𝒔𝒆,5
70bb4238-18b1-42ff-ba36-2eac930f418d,piz my video foryou piz,1
3c132e91-ac88-4df9-8aed-a93d2039bdf0,It's good,4
7f636284-f3ba-4b6f-b665-cd1e7fcab6b5,I think it's good for my kids,5
55b5dd2c-ab9e-44b3-84f6-4f7b9b0dc5f8,Aryan,1
374544bb-d09c-4eb4-ab8c-49967d20adf3,Good apk,1
eaa44ae0-e6f2-4f52-ab62-d714b34dec80,nice video,4
793614f4-5bba-46bc-b7e0-e28d631650c6,مُسليِ,4
62e14bae-a275-4ee1-abaf-d91151608674,𝐼𝑡 𝑖𝑠 𝑎 𝑔𝑟𝑒𝑎𝑡 𝑎𝑝𝑝...𝑖 𝑙𝑖𝑘𝑒 𝑖𝑡..,5
df4a586d-e546-4419-b798-7d065bcf3cb7,Tara jan,5
fdd81115-3ea0-4ca4-ba8d-9323d6ccbf10,MdAryan,4
f763f1cb-60bc-4dce-9895-a4b0e0c75bd9,nice apps ☺☺☺☺,5
273ad0c5-74dc-404c-a082-8f57bb84fe36,Its Alright nothing to big,3
3744b33a-417c-48a3-8a1d-8b41a9d766c5,Tiktok is more incredible and fun am able to find and chat with new friends,5
1003e814-6bd4-4ab8-8c4b-8e65617a1700,"This app helps with relaxing and just wasting time, but I can't follow or like anyone's post. This has been happening for a while now. Please get this issue fixed.",4
91cc9751-d8da-4844-af6b-4089cfd97471,Good,5
07df1ae0-af3f-4c0f-8fc5-5b673b33619c,Verified ❤️,5
1a4ed0b4-7e43-4aff-9b69-eeda6e0479a7,I really like to see different people acting on TikTok,5
23430c2c-60d5-415c-a849-56ca763717b7,Good app 👍☺️,5
3309070b-26c9-4b55-a0b5-9c9ac249b251,"Consistently letting predatory creators go unchecked, and letting other crators/users harass people in the comment section. Yet you do nothing about it.",1
d107cb4e-0add-432b-b1e7-ec48f5a76a0e,Very good ....but havy,5
6f0724bb-bc7c-4258-89d8-d9db802dfe6f,Only mujra available here,1
135616b5-d9a4-4bbe-b7a3-607412614010,This is the best app ever I love it it lets me post how many videos I want I love this app you should go to download it I give you a hundred out of 100,5
518c1b02-5fea-435e-9a3e-c7d8fa509127,Great app full of entertainment and it really makes my day,5
ea921644-aa86-4966-a944-d96972ec878d,Best app,5
fb0f6fcd-0cd6-4866-b217-9539ad31c6c4,Best App where I can cherish myself,5
27331a27-ae85-42ab-887d-4adc610b8e45,Viral,5
c3fddb64-6d26-4026-8145-3db98a8ec501,I just Love Tik Tok it take away your Stress and it make me smile,5
60165c3b-f878-4e4f-8cf8-a4cb2cae1090,🙃,5
aec594fe-b789-43f1-8b67-adeb006e7adb,Niaom ❤️,4
581a8e2a-6191-474a-9cf7-dafe2a5304be,ForYou Account,5
4cdffa4c-772c-4898-a621-2ff2ca44ad3a,❤️,5
4e64d2ac-2b75-4a62-8e08-3b93aeb7d08c,I love it,5
99c974a6-364a-47a6-a1ce-d171cad8c8d4,"TikTok is the best app,😘 its features are very good, I got to learn a lot by using it۔ Welldone Tiktok🌹♥",5
6c05bc23-11bb-44eb-8b3a-099296501d54,𝓝𝓲𝓬𝓮 𝓪𝓹𝓹,5
3b67247e-5c8e-4ec2-80ba-4dc460359b17,FahiZbaloch,5
e08be765-67b9-41fd-a3c0-ef9d1a3918a9,Excellent,5
32dc3ddc-420c-4abf-9cb0-a430c08c51a2,Nice,5
4e69c740-ea61-4683-af95-aa1721ef535d,entertainment,5
cce5fc11-e6fa-4f40-bb0d-395fc5fd32f8,I mean khan,1
832ce419-a9bf-44df-8d7a-241c3e41ebb5,Tiktok isn't a good app for teens to use.,1
9b179d19-e5c8-4474-9eb3-f0d858ca1319,My phone version is up to 5 but tiktok app is not install in my phone,1
6fb63c9c-5b83-4360-a38e-ade20a8e7f7f,This app doesn't have any problems,5
3472db6d-d459-4a95-b2b1-5a3b505b8747,This is so bad aap i hate tiktok i love tiktok lite in tiktok you cannot sign up an account,1
4f3ab7d7-b56b-4b89-bdd2-6e3f498d7fe2,This app ain't bad but I always have to update it but I really like it❤️,4
103a9921-4aa6-4a12-a8c0-734613d33287,Love this media,5
da8d2037-6671-4e61-a162-28caf51eb93d,fast download,5
21690d8d-c093-480f-a7bd-8c380a87dc8f,Lovely 😍 experience,4
509ec442-5ba8-4775-948e-c990ab93af20,MD.Jomer,5
8c4b8733-d8f2-4ff9-ba1c-ee5de56be812,Hi tiktok Tiktok good app 5 star ⭐⭐⭐ ⭐⭐ rate this app 📲💯 good tiktok team 💫 number one tiktok app 🌏 🇵🇰 🇨🇳💓 i love tiktok app 💖💗 @imranrashed.pk1 👉 i like new update tiktok app ⭐⭐⭐⭐⭐💓💓💓💓💓💓💓💓💓💓💓💓💯💯💯💯💯💯💯💯💯💯💯💯,5
c1562652-3372-4837-9ecc-71458a0a5368,Good app very good appp,5
a89ea99f-df6c-4d23-86d4-2ffaf92546b3,Good 👍,5
343f3fa4-26fb-49fb-bb2d-0ae6260a6e82,Wow superb app but videos r not going on hit and not on foryou,1
da19ce97-f989-4679-a570-852040a90d9d,This takes too much space in my phone,1
636f0a7a-d870-46d2-9ce0-09ed7ff00ed6,Stress killer,4
a7a706a6-b06a-4779-adf2-0d090471d84c,Iam angry 😟,2
744966ec-1ef2-41aa-bda8-1468add58659,Try it again soon 😁😁,5
88fd2e30-b01b-4ac6-8f5f-11a0db8dfed6,খুবই ভালো লাগলো আমার এই অ্যাপটা।অনেক ভিডিও করে সেগুলো পোষ্ট করতে সক্ষম হলাম অতএব এই অ্যাপটি যে তৈরি করেছে তাকে আমি আমার তরফ থেকে জানাই অসংখ্য ধন্যবাদ।,5
45e9c767-4d6a-41c6-b359-f00e3af5d130,Great entertainment,5
8d1d0835-7267-4931-aa2d-983cafc55955,Its good at time passing,4
03c3f3cd-1a7c-4549-905f-d7a5f215da68,NICE,5
8c4a9c67-b120-4505-91ed-a38136f8b494,নাইচ,5
7f809c45-0c48-4225-96f8-fefac3417e09,Nice app I love it,5
22c08550-11be-4126-8d8e-935bc3857456,Tiktok needs more trends because its not how it used to be like funny or you can do tiktoks without sombody hating in the commets.❤🖤,4
2e815f85-c21c-4110-a628-78c17d27342a,It isgreat but my video not sent to for you,5
0f946493-a4a4-4ec5-a272-74d4c6b20f50,Great,5
47f2c985-8fc3-436d-a550-6e9f764fb31e,Plzz tiktok team viral my videos plzz,5
f878b217-e939-481d-9f32-e42e4f447fad,Good,5
c2abe8e1-6f96-4eb4-a091-14d0ce6e5eaa,Plaes saport me,5
f79ffeb0-1bfa-491a-9231-3da2fd828cdb,Fun waste of time,5
9ce485e3-017c-4191-801d-c5d601d07d80,"There are many games to choose from, and sometimes I don't know what game I want to play, but if u don't have WiFi, it will be hard Thank you for your time in reading this ❤️",4
e441bb8d-45a3-42bb-b110-a2e7cf3146be,This app is the best 👌,5
dd25fef8-e2b4-4508-941a-d2e3d737888a,"No privacy, didn't use the app and disabled it yet months later still actively used up my data so basicallyspyware",1
3b3dc108-43e2-4b0a-9dac-ec0cfd77a620,Thank you,5
d3802379-b21d-4eab-9ef5-8f347a06774d,God and intelligence app I like it I love you thanks you much,5
68389855-5cb3-4c60-a590-0238ba338c76,OK,5
67f12312-c12e-46be-ac64-d04e294d2b77,It's nice app,5
16fdc4ca-fb2b-446d-ba76-0b7f86473575,Super Very Best ♥️🌹🌹,5
abe70716-169d-4fb4-9849-fa2284b4c5ef,sumaiya jahan,5
37438ebd-a27c-4f08-9696-1a676c5d882b,Timepass😅😅,5
f535aebf-8b22-4490-98b7-af749e55f2b3,Srabon,3
baac5bef-ed2e-45a9-bd8c-0ffe120ee481,Plz for fou,5
efb542d4-1285-4acd-afd8-a1de4e846b29,brilliant app,5
f1eeaebd-7cff-4bf9-96eb-9b5125563dc9,Nice,5
d767e658-41d2-4c07-b9d1-1fe26bfbeb9c,Nice🎧,4
9427072c-a4e5-4ee0-85f2-f5d93de03301,Good,5
1ab75501-e30a-4cbb-be3a-ea7cb31ddcf0,Rao fareed,5
ea8e1053-bd48-47f9-9b1f-e3476661ff2b,Good,5
5e279e1b-8cd2-456b-923f-c6d0e3ee002e,Social media app of the future.,5
e1ba9b84-c356-42a0-8b36-999da162ce22,Fun app,5
31444e87-0bc7-4a93-af91-a7e1eabfa125,It's okay,5
80bbf095-4aed-44cb-8403-e02bdc609d65,My video viral for you trending,5
c495a2cb-b05b-4300-af4a-9af10fc570be,Ahad,5
b368f317-eb0e-4659-9b35-f2f443d664ff,nice Tik Tok,5
57c97384-0d51-48b8-9095-639b9335cd25,I like it very much. Nice,5
552ae444-be5c-4544-83b4-8e38ebcc02a2,Eh it's alright,3
1f5e1062-1785-4123-a9ab-93fbf363dc19,Good,2
2f0b8d8e-eb07-482a-a82d-ba4da4a8f089,Tufurjrr,4
769a6551-84c4-4ecc-8cd1-f306c7a14c47,Old midestan new season please,5
b611b23b-0d38-417b-9a70-f032610cc8c1,To much amazing,5
31373380-0fc1-4c9f-868e-04e291a20acf,Please unfrez my account tiktok team,5
63ba7a5e-bafe-45cc-80f1-9083cb9ba8b4,Absolutely it's entertaining and it's just I like it a lot,5
77637ef7-06e3-4a57-a3c6-61d0ad83242d,Great,5
f77cfa85-8602-40fb-825a-b9848bc8fc11,"Well I bought a new phone and got a new number. When I opened TikTok on said phone it took me strait to some guy named Brad's TikTok account and I'm still using it...... Only because I haven't figured out how to start anew. It's ok folks, he doesn't seem to know I'm even there, so no harm no foul.",4
47221e13-b700-4a1f-b393-245a75121664,Hay girl,5
3cac22b0-2b8a-4d0a-8589-c795e6bcddb4,A to Z 14,5
e15b9152-cb05-4011-966d-5c3157c1b5c5,It's a great app,5
94442cec-ff5c-4ba4-8f22-78fb3b356b01,I like it's function tools.each and everything.i am not described it's qualities in words .I love so much,5
